Cluster	Account	Program	SOW ID	Project Name	Project Type	Delivery Responsibilty	Technology	Leadership Attention Required	Risk Name	Risk Class	Risk Element	Risk Attribute	Risk Consequence	Project Impact	Client Impact	Mitigation / Contingency Plan	Risk Source									
UTC	UTC Otis Elevators	UTC Otis Elevators	UTCO-0048-01-00	My Mod Rule Engine	Development - Agile	UST Managed	Microsoft	No	 Lack of knowledge and delay from vendor	A1.Program	B3.Dependency	C1.Dependency Tracking 	their overall delay and lack of business knowledge can hamper the complete program. 	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
UTC	UTC Otis Elevators	UTC Otis Elevators	UTCO-0048-01-00	My Mod Rule Engine	Development - Agile	UST Managed	Microsoft	No	UAT Coverage	A2.Product	B7.Testing	C3.Functional Coverage 	due to which  Issues may occur in PROD 	Quality of the deliverable will get impacted 	To be updated by PM	To be updated by PM	DM Review									
Hitech2	"Global Payments Direct, Inc."	Global Payments Direct-CICSMOD	GPND-0003-01-00	GPN CICS Messaging Modernizati	Development - Agile	UST Managed	Java	No	DO_Risk on Security	A2.Product	B7.Testing	C4.NFR Testing 	May result in vulnerabilities when the services are invoked by external consumers	Tech debts related to vulnerability impacting quality of deliverables and timelines	Tech debts related to vulnerability impacting quality of deliverables and timelines	PM to update	DM Review									
India	Cinesoft	Cinesoft	CISF-0001-01-00	Online Store	Development - Agile	UST Managed	Others	No	DO - Missing Opportunity of market share	A1.Program	B3.Dependency	C1.Dependency Tracking 	Schedule Delay	"Schedule Delay, Revenue Impact"	Delay in product launch and Not meeting milestones	"Streamline the process, get Cinesoft accountable for the deadlines. Involve stakeholder from both parties. Continue regular follow-ups with vendor and team coordination. "	DM Review									
India	Cinesoft	Cinesoft	CISF-0001-01-00	Online Store	Development - Agile	UST Managed	Others	No	DO - Schedule Delay Risk - Web Version	A1.Program	B2.Schedule	C3.Critical Path 	Impact in revenue forecast as per SOW.	"Schedule delay, Revenue Loss"	Revenue Impact	Work closely with vendor teams to pull the project on track. Review the project after the go-live (beyond soft launch) and track the vendor onboarding and revenues.	DM Review									
India	Cinesoft	Cinesoft	CISF-0001-01-00	Online Store	Development - Agile	UST Managed	Others	No	No quality gates set with vendor	A1.Program	B6.Quality	C2.Defect Management 	affects the quality of agreed deliverables from vendor	Affects the quality of agreed deliverables from vendor	affects the quality of agreed deliverables from vendor	"Quality gates to be set with vendor and also code coverage through SonarQube reports, unit test results, defects data to be requested from customer."	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-07	VC MSP Extension: AMS & Infras	Maintenance and Production Support	UST Managed	Infrastructure	No	Not be able to present the committed metricsÿdue to the limitations in ITSM tool	A4.Infrastructure	B2.Software	C4.Feature Limitations 	Team might not be able to present the committed metricsÿdue to this.ÿ	Not able to present the requird KPIs with client	Tracking the required KPIs	Migrate the ITSM tool to latest ones(ServiceNow/JIRA etc) or customise the existing application	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-07	VC MSP Extension: AMS & Infras	Maintenance and Production Support	UST Managed	Infrastructure	No	No RCA for all reccurring incidents	A2.Product	B2.Analysis	C1.Functional Analysis 	no incidents will increase if RCA not identified	"Application avaialbilty,KPIs"	"Non avaialbilty of applications with end users,frequent issues"	do the RCA for all recurring incidents along with P1/P2 inidents	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-07	VC MSP Extension: AMS & Infras	Maintenance and Production Support	UST Managed	Infrastructure	No	"Weak change management process,"	A2.Product	B1. Requirements	C10.Sign off / Baselined	 could lead to unauthorized changes in environment. 	"unauthorized changes in environment. and  a potential audit risk.ÿ
"	unauthorized changes in environment and  a potential audit risk.ÿ	Establish a automated Change Management process	DM Review									
FSG	Vanguard Charitable	Vanguard Charitable	VNGC-0866-01-07	VC MSP Extension: AMS & Infras	Maintenance and Production Support	UST Managed	Infrastructure	No	Noÿestablished ommunication process between Vanguard and vanguardÿcharitableÿwhen it comes to IT changes. 	A4.Infrastructure	B1.Hardware	C1.Availability 	 This leads to unplanned downtime.ÿ	Application availability	Availability of the application	Establish a regular meeting/communication plan with Vanguard/VNGC	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0647-01-00	Equifax EWS UC GCP Migration-S	Development	Joint Managed	Java	No	Scope of activities not clearly defined	A1.Program	B11.Operations	C2.Contracts 	To be updated by PM	To be updated by PM	To be updated by PM	"The planning is done on a quarterly basis. As the outcome of the PI planning, we will get the list of stories to be worked in the quarter. But still we are getting scope changes based on various factors (technical solution limitation in certain new scenario's, additional security requirements etc). We will come up with tracker with the list of scenario's / factors which caused a scope change and delay and review it with customer periodically."	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0647-01-00	Equifax EWS UC GCP Migration-S	Development	Joint Managed	Java	No	The project roadmap or release plans were unclear during the initial phase of the project	A1.Program	B1.Size and Effort	C1.Estimation 	To be updated	To be updated	To be updated	"The risk was there in the initial phase of the project (i.e Q1,2021). We are able to get a clarity on the scope later. On the WBS, we use a quarterly PI planning to arrive at stories and the details are available in JIRA"	DM Review									
CAP	Equifax Inc.	Equifax - EWS	EQUF-0647-01-00	Equifax EWS UC GCP Migration-S	Development	Joint Managed	Java	No	Schedule delays not able to trace	A1.Program	B2.Schedule	C3.Critical Path 	To be updated	To be updated	To be updated	"Scheduled delay SLA is applicable for PROD deployment delays. 

As we have both UST & Customer resources in all roles (Dev, QE, PO, SRE) in all teams, it would be difficult to identify the exact owner for the delay in many scenario's - as teams are jointly working. We will come up with a tracker on different scenario's / causes of the delays and review that with customer periodically."	DM Review									
Manufacturing	Hanes Brands Inc	Hanes Brands Inc	HANE-0395-01-00	GDC -2021	Maintenance and Production Support	Joint Managed	Microsoft	No	 key performance indicators not tracked	A1.Program	B8.Monitoring and Control	C1.Metrics 	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	Hanes Brands Inc	Hanes Brands Inc	HANE-0395-01-00	GDC -2021	Maintenance and Production Support	Joint Managed	Microsoft	No	The SLA definition is not articulated in the SOW 	A1.Program	B11.Operations	C2.Contracts 	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	Hanes Brands Inc	Hanes Brands Inc	HANE-0395-01-00	GDC -2021	Maintenance and Production Support	Joint Managed	Microsoft	No	Metrics are not tracked based on each support area	A1.Program	B8.Monitoring and Control	C1.Metrics 	this can result in escalation from customer as currently only overall 80% of the tickets created in same month are tracked	"This may result in missing of some high priority areas (For example, with regard to Finance GL closure, a defect created may have to be closed before a specific period, but current Metrics doesn?t catch these details)."	To be updated by PM	To be updated by PM	DM Review									
Manufacturing	Hanes Brands Inc	Hanes Brands Inc	HANE-0395-01-00	GDC -2021	Maintenance and Production Support	Joint Managed	Microsoft	No	 Scope not documented / no clear definition for minor/major enhancements 	A1.Program	B7.Methods	C1.Development Methodology 	To be updatd by PM	To be updatd by PM	To be updatd by PM	To be updatd by PM	DM Review									
Manufacturing	Hanes Brands Inc	Hanes Brands Inc	HANE-0395-01-00	GDC -2021	Maintenance and Production Support	Joint Managed	Microsoft	No	 BCP for singe resource area	A1.Program	B9.Stakeholder Dependency	C4.Contractual / Verbal Commitment 	To be updated by PM	To be updated by PM	To be updated by PM	To be updated by PM	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0195-01-14	USIS Telco Team-CB and 2021-Ex	Development - Agile	Joint Managed	Java	No	SLAs & all metrics are not tracked 	A1.Program	B8.Monitoring and Control	C1.Metrics 	Can miss tracking of KPIs and SLA s	SLA breaches and tracking of  resource performance	SLA breaches	currently working based on the knowledge of the existing resource and priority list. Need to start tracking all KPIs 	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0195-01-14	USIS Telco Team-CB and 2021-Ex	Development - Agile	Joint Managed	Java	No	Environment access to the testers. 	A2.Product	B7.Testing	C1.Test Bed 	affects the testing	Timely completion of testing	Timely completion of testing	Client to ensure the access to testers in time.	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0195-01-14	USIS Telco Team-CB and 2021-Ex	Development - Agile	Joint Managed	Java	No	Sourcing challenges at offshore 	A3.Team	B6.Resource Mix	C1.Team Structure	 UST may end up holding existing people at onsite with lower bill rate. 	could impact the project margin	N/A	Hire the resources in time	DM Review									
Medium Payer Clust	Blue Cross and Blue Shield Association	Blue Cross and Blue Shield Ass	BBSA-0073-01-00	"Data Services : NDW,VBP & MMI"	Development - Agile	UST Managed	DW-BI - Others	No	Does not have sufficient test data in the lower environment.	A2.Product	B7.Testing	C2.Test Data 	Affects the testing and can lead due to production issues  	Can lead to production issuesa and penalties	Production issues	This is a typical BCBSA issue 	DM Review									
Medium Payer Clust	Blue Cross and Blue Shield Association	Blue Cross and Blue Shield Ass	BBSA-0073-01-00	"Data Services : NDW,VBP & MMI"	Development - Agile	UST Managed	DW-BI - Others	No	Acceptance criteria for the  user stories are not well defined	A2.Product	B9.Quality	C2.Acceptance Criteria 	Can cause rework and quality	Can cause rework and quality	Can cause rework and quality	Currently team is working with customer side Business System Analyst and Product Owner to define the stories with Acceptance Criteria.	DM Review									
Medium Payer Clust	Blue Cross and Blue Shield Association	Blue Cross and Blue Shield Ass	BBSA-0073-01-00	"Data Services : NDW,VBP & MMI"	Development - Agile	UST Managed	DW-BI - Others	No	No Proper UAT testing as UAT environment is not set up properly	A2.Product	B9.Quality	C2.Acceptance Criteria 	"Can cause rework,additional effort and quality"	"Can cause rework,additional effort and quality"	"Can cause rework,additional effort and quality"	UST team to work with customer to setup the proper UAT environment with sufficient test data to cover the UAT test scenarios	DM Review									
Medium Payer Clust	Blue Cross and Blue Shield Association	Blue Cross and Blue Shield Ass	BBSA-0073-01-00	"Data Services : NDW,VBP & MMI"	Development - Agile	UST Managed	DW-BI - Others	No	SLA miss in one project would impact the SLA across the Account.	A1.Program	B11.Operations	C2.Contracts 	SLA miss and service credit	SLA breaches and Service credits	N/A	"To revisit the contract,avoid SLA misses"	DM Review									
Retail1	Walmart - EIM / Data	Walmart - EIM / Data	WALM-1091-01-00	Support International Data Lak	Production Support	UST Managed	DW-BI-ETL	No	Unpredictable pattern in the work volume posesÿchallenges in the effective  planning of resources	A1.Program	B1.Size and Effort	C1.Estimation 	SLA breaches can happen  and manpower diamensioning affects	SLA breaches	Service Availability	Introduce monthly capping for tickets handling	DM Review									
Retail1	Walmart - EIM / Data	Walmart - EIM / Data	WALM-1091-01-00	Support International Data Lak	Production Support	UST Managed	DW-BI-ETL	No	Problem  Management and processesÿstabilization delaying due to dependency with other teams	A1.Program	B3.Dependency	C1.Dependency Tracking 	Delay the entire incident reduction process and processes stabilization	Process stabiliastion and permananet fix to resolution	Process stabilisation and application availability	Highlight and actions to be planned for avoiding dependency with other team	DM Review									
New Business - AM	LoanDepot.com LLC	LoanDepot	LODP-0001-01-00	loanDepot - Command Center	IMS	UST Managed	Infrastructure	No	Cuurent SLA is below than committed SLA	A1.Program	B8.Monitoring and Control	C1.Metrics 	SLA breaches	SLA breaches	Agreed SLA deviation from UST	Revisiting the SOW based on actuals	DM Review									
New Business - AM	LoanDepot.com LLC	LoanDepot	LODP-0001-01-00	loanDepot - Command Center	IMS	UST Managed	Infrastructure	No	Phase 2 transition progress is delayed 	A1.Program	B11.Operations	C2.Contracts 	Delays the invoicing	Financials	Transition and support	"Following up with them. Shared SOPs to them in the months of Aug?21. On 23 Sep, loanDeopt platform team has come back to us with a promise that they will look into the SOPs and share feedback and discuss next steps"	DM Review									
New Business - AM	LoanDepot.com LLC	LoanDepot	LODP-0001-01-00	loanDepot - Command Center	IMS	UST Managed	Infrastructure	No	Currently performs only catch and dispatch for incident management and no evidence on  customer concurrence/ scope change document	A1.Program	B11.Operations	C2.Contracts 	Contract obligation.	Contractual obligations	Contractual obligations	Gone  live partially with network support for network circuit support from 15th Sep and response/resolution SLAs are being shared to customer in weekly reports. CR will be prepared for the current deviations in timelines/delivery and taken forward with customer]	DM Review									
Maersk	Wesco Aircraft Hardware Corp d/b/a Incor	Wesco Aircraft Hardware Corp.	WSCO-0041-01-00	Incora Infrastructure Services	IMS	UST Managed	Infrastructure	No	Legacy environments are running on outdated OS 	A4.Infrastructure	B2.Software	C6.Compliance 	affects the application performance and  SLAs 	Frequent incidents and SLA breaches	Frequent incidents and SLA breaches	Team is working with customer SMEs to get this upgraded to latest OS.	DM Review									
Maersk	Wesco Aircraft Hardware Corp d/b/a Incor	Wesco Aircraft Hardware Corp.	WSCO-0041-01-00	Incora Infrastructure Services	IMS	UST Managed	Infrastructure	No	CMDB not available	A1.Program	B5.Tools	C1.Engineering Tools 	Affects the effective inventory management and the history of incidents assosciated with each devices	Affects the effective inventory management 	Affects the effective inventory management 	Customer to provide the same 	DM Review									
Maersk	Wesco Aircraft Hardware Corp d/b/a Incor	Wesco Aircraft	WSCO-0020-01-00	Incora Application Management	Application Managment and Production Support Solution	UST Managed	Java	No	"ITSM tool not capturing values which are needed for the SLAs defined in the contract, team might not be able to present the committed metrics"	A1.Program	B5.Tools	C2.PM Tools 	Tteam not be able to present the committed metrics	Agreed SLA commitments	Service  availabilty and support to end users	Get configured the required metrics in th etool	DM Review									
Maersk	Wesco Aircraft Hardware Corp d/b/a Incor	Wesco Aircraft	WSCO-0020-01-00	Incora Application Management	Application Managment and Production Support Solution	UST Managed	Java	No	? Knowledge management  when newer applications are getting added to the support scope.	A3.Team	B2.Knowledge	C1.Application Knowledge 	When newer applications are getting added to the support scope.	Issue resolution	Incident resolution	Get the adequate document from customer or prepare the KT document before applications are getting added to the scope	DM Review									
Retail1	Safeway Inc	Safeway	SAFE-1371-01-00	26048 Produce QCR	Development - Agile	UST Managed	Java	No	Automation of Regression Suite as per SOW	A2.Product	B7.Testing	C7.Regression Automation 	May not meet the contract obligations	contract obligations	contract obligations	Do the complete automation of regression suite	DM Review									
Retail1	Safeway Inc	Safeway	SAFE-1371-01-00	26048 Produce QCR	Development - Agile	UST Managed	Java	No	Nonfunctional requirements and the expected performance testing are not started in the new system	A2.Product	B7.Testing	C4.NFR Testing 	Committed NFRs may not be able to deliver	Committed NFRs may not be able to deliver	Committed NFRs may not be able to deliver	Awaiting the approval from the customer for the performance test strategy shared.	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0718-01-00	Equifax USIS CMS Migration-Pha	Development	UST Managed	Java	No	Delay in POC delivery for testing	A1.Program	B2.Schedule	C7.Task Dependencies	will impact the test delivery schedule of UST. Review the schedule and decide further course of actions to mitigate this risk.	Dealy in schedule & delivery	PM to update	PM to update	DM Review									
CAP	Equifax Inc.	Equifax-USIS	EQUF-0718-01-00	Equifax USIS CMS Migration-Pha	Development	UST Managed	Java	No	Evolving tool	A2.Product	B7.Testing	C3.Functional Coverage 	May alter the expected outcomes of the types of files tested before the comparison tool enhancement. 	Quality of  testing	PM to update	PM to update	DM Review									
																										
